year,state_abbr,state_name,population,violent_crime,homicide,rape_legacy,rape_revised,robbery,aggravated_assault,property_crime,burglary,larceny,motor_vehicle_theft
2013,CA,California,38431393,154739,1746,7464,10324,53640,89029,1018907,232058,621557,165292
2013,CO,Colorado,5272086,16099,174,2198,2963,3136,9826,139974,25075,102375,12524
2013,CT,Connecticut,3599341,9439,91,647,891,3551,4906,71274,12934,52099,6241
2013,DC,District of Columbia,649111,8415,103,297,395,4082,3835,31097,3316,24547,3234
2013,DE,Delaware,925240,4633,41,278,399,1233,2960,29001,6299,21347,1355
2013,FL,Florida,19600311,91993,972,4765,6767,23200,61054,607170,138915,433344,34911
2013,GA,Georgia,9994759,37519,563,2022,2891,12704,21361,339808,83459,229190,27159
2013,HI,Hawaii,1408987,3585,32,366,508,934,2111,45266,7777,32928,4561
2013,IA,Iowa,3092341,8443,41,873,1133,937,6332,67976,15918,47803,4255
2013,ID,Idaho,1612843,3471,29,516,674,220,2548,30230,6693,21999,1538
2013,IL,Illinois,12890552,51956,722,3895,5340,17733,28161,296048,59093,216059,20896
2013,IN,Indiana,6570713,23627,357,1623,2241,7114,13915,187472,42754,130534,14184
2013,KS,Kansas,2895801,9928,117,1003,1295,1339,7177,85704,17476,61557,6671
2013,KY,Kentucky,4399583,9280,172,951,1646,3247,4215,104448,26331,72048,6069
2013,LA,Louisiana,4629284,24127,494,1248,1763,5539,16331,165679,41214,115300,9165
2013,MA,Massachusetts,6708874,27264,138,1722,2303,6705,18118,137274,30716,97437,9121
2013,MD,Maryland,5938737,28235,384,1179,1679,10048,16124,157918,31950,112551,13417
2013,ME,Maine,1328702,1761,24,366,495,335,907,30454,6480,23063,911
2013,MI,Michigan,9898193,44757,625,4506,6785,10093,27254,230135,56256,149794,24085
2013,MN,Minnesota,5422060,12710,114,1453,2014,3674,6908,131193,22713,100514,7966
2013,MO,Missouri,6044917,26216,369,1679,2305,5486,18056,189655,38797,134514,16344
2013,MS,Mississippi,2992206,8303,217,726,1024,2413,4649,81548,24969,52192,4387
2013,MT,Montana,1014864,2924,23,382,467,217,2217,26195,4122,20192,1881
2013,NC,North Carolina,9848917,33587,463,1790,2524,9275,21325,305631,90182,201043,14406
2013,ND,North Dakota,723857,1979,16,288,355,161,1447,15356,2979,10942,1435
2013,NE,Nebraska,1868969,4949,56,621,847,1035,3011,49197,8945,35791,4461
2013,NH,New Hampshire,1322616,2952,21,522,778,645,1708,30409,5283,24188,938
